iter	Passed	Remaining
0	0	50
1	0	47
2	1	46
3	1	42
4	2	40
5	2	40
6	2	39
7	3	38
8	3	38
9	4	38
10	4	37
11	5	36
12	5	36
13	5	35
14	6	34
15	6	34
16	6	33
17	7	33
18	7	32
19	8	32
20	8	32
21	8	31
22	9	31
23	9	30
24	10	30
25	10	30
26	11	30
27	11	29
28	11	29
29	15	36
30	16	37
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	34
37	21	34
38	21	33
39	22	33
40	22	32
41	22	31
42	23	30
43	23	30
44	24	29
45	24	28
46	24	28
47	25	27
48	25	26
49	26	26
50	26	25
51	27	25
52	28	25
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	36	16
69	37	15
70	37	15
71	38	14
72	38	14
73	39	13
74	39	13
75	40	12
76	40	12
77	41	11
78	41	11
79	42	10
80	42	10
81	43	9
82	43	8
83	44	8
84	44	7
85	45	7
86	45	6
87	47	6
88	47	5
89	48	5
90	48	4
91	48	4
92	49	3
93	49	3
94	50	2
95	50	2
96	51	1
97	51	1
98	52	0
99	52	0
